;palavras;quantidade
35;educação;1547
40;?;246
401;"""";201
6;pra;201
77;física;177
457;q;139
83;ser;132
405;falta;117
52;brasil;109
38;(;103
67;sobre;102
55;gente;100
41;);91
69;vai;91
245;saúde;87
268;vc;86
112;sexual;79
623;ter;77
167;país;75
21;escola;69
727;governo;65
674;projeto;65
22;pq;64
56;n;63
212;/;60
525;pode;60
518;escolas;60
1177;pessoas;60
327;povo;59
360;1;59
57;precisa;58
742;bolsonaro;58
2052;dinheiro;57
839;aula;55
199;anos;55
58;falar;53
9;p;52
323;hoje;52
381;dia;52
388;professor;50
32;ensino;50
1360;nada;49
513;pública;49
829;ainda;48
746;d;48
155;lulaoficial;47
11;fazer;46
187;homeschooling;46
452;casa;46
144;melhor;46
91;pessoa;45
62;fala;44
804;nunca;44
128;bem;44
522;priscilafcruz;44
458;boa;44
728;corrupção;43
243;crianças;42
184;contra;42
668;aqui;41
573;pais;41
412;assim;41
213;“;41
739;jairbolsonaro;41
264;2;41
59;cmg;41
4;estado;40
1566;tá;39
818;menos;39
1703;tudo;39
2769;leva;39
732;todos;38
777;odeio;37
1176;sempre;37
550;cara;36
61;mim;36
82;vou;36
95;porque;35
980;acho;34
71;vida;33
552;nao;33
740;bom;33
186;domiciliar;33
211;c;32
1265;coisa;32
235;quer;32
553;sabe;32
1000;sim;32
372;básica;32
504;qualidade;32
1038;dar;31
1450;direito;31
978;criança;31
535;vamos;31
483;tão;30
1967;poder;30
427;mundo;30
377;além;30
362;lula;30
230;agora;29
215;”;29
221;filhos;28
373;maior;28
1042;neste;28
68;financeira;28
1238;professores;28
903;faz;28
1026;3;28
2140;️;27
267;presidente;27
1285;passa;27
159;emprego;27
745;programa;26
33;público;26
945;sendo;26
548;toda;26
1545;infantil;26
51;trabalho;26
1556;vem;26
780;mulher;25
810;ver;25
809;2022;25
2248;inacreditável;25
60;gosta;24
824;paolacarosella;24
166;existe;24
175;problema;24
278;r;24
1441;semana;24
1518;todo;24
1365;fazendo;23
73;%;23
194;falando;23
280;6;23
827;mal;23
720;outros;23
164;ciência;23
236;investir;23
189;ta;22
1198;pae;22
279;$;22
779;lugar;22
2582;sei;22
545;professora;22
97;coisas;22
2217;🇧;22
2218;🇷;22
200;pt;22
1343;5;21
785;😭;21
1616;saber;21
924;paulo;21
782;qualquer;21
575;deus;21
1078;🤣;20
260;veja;20
307;alguém;20
339;ano;20
174;grande;20
567;deve;20
437;ir;20
2007;s;20
1493;lei;20
66;curso;20
137;aí;20
287;pior;19
231;querem;19
2329;tipo;19
2358;dá;19
2006;muita;19
1179;merda;19
214;centrão;19
1245;nesta;19
2605;respeito;19
192;tô;19
514;base;18
309;algo;18
392;jdoriajr;18
1134;investimento;18
98;tanto;18
837;então;18
1213;sistema;18
2026;m;18
701;segurança;18
31;sus;18
1055;secretaria;17
1130;vez;17
472;10;17
1569;gosto;17
1263;mãe;17
2313;onde;17
290;política;17
1088;pro;17
1286;lado;17
507;cada;17
251;pandemia;17
252;via;17
834;história;17
620;impoante;17
586;forma;17
895;brasileiro;17
1506;públicas;17
1323;filho;17
939;primeiro;17
557;brasileira;17
272;fez;17
1212;favor;17
133;outra;16
1331;militares;16
300;cultura;16
1200;ministro;16
165;tecnologia;16
1059;tempo;16
547;sala;16
1129;sociedade;16
817;0;16
1375;vagas;16
2626;rachadinha;16
1536;municipal;16
568;estar;16
193;quase;16
103;alunos;16
2765;conta;15
2004;deu;15
615;parabéns;15
2150;rede;15
581;alguns;15
367;amo;15
523;novo;15
2287;acha;15
1674;deixar;15
451;dentro;15
707;família;15
330;acesso;15
337;fisica;15
385;superior;15
3443;viva;15
80;13;15
5;mínimo;15
1519;lá;15
204;né;15
1412;todas;15
774;to;14
118;exemplo;14
1621;ficar;14
1453;queria;14
3817;realmente;14
1350;nacional;14
953;4;14
1811;verdade;14
3541;milhões;14
1100;inscrições;14
730;ministério;14
1158;profissionais;14
800;debate;14
281;bilhões;13
2030;#educação;13
3226;encontro;13
950;vcs;13
275;conversa;13
686;práticas;13
2487;repetir;13
1887;educar;13
2185;tarde;13
1327;viu;13
3444;nenhuma;13
757;liberdade;13
685;aulas;13
340;hj;13
1077;antes;13
1547;amanhã;13
2497;mundial;13
2111;área;13
146;meio;13
423;amor;13
1481;dois;13
329;pobre;12
29;fim;12
2584;educa;12
2627;armas;12
